rank,name,skillId,source,installCount,detailPath,detailUrl
1,find-skills,find-skills,/vercel-labs/skills,2315433,vercel-labs/skills/find-skills,https://skills.sh/vercel-labs/skills/find-skills
2,frontend-design,frontend-design,/anthropics/skills,618582,anthropics/skills/frontend-design,https://skills.sh/anthropics/skills/frontend-design
3,vercel-react-best-practices,vercel-react-best-practices,/vercel-labs/agent-skills,521037,vercel-labs/agent-skills/vercel-react-best-practices,https://skills.sh/vercel-labs/agent-skills/vercel-react-best-practices
4,agent-browser,agent-browser,/vercel-labs/agent-browser,506813,vercel-labs/agent-browser/agent-browser,https://skills.sh/vercel-labs/agent-browser/agent-browser
5,grill-me,grill-me,/mattpocock/skills,442451,mattpocock/skills/grill-me,https://skills.sh/mattpocock/skills/grill-me
6,web-design-guidelines,web-design-guidelines,/vercel-labs/agent-skills,433551,vercel-labs/agent-skills/web-design-guidelines,https://skills.sh/vercel-labs/agent-skills/web-design-guidelines
7,microsoft-foundry,microsoft-foundry,/microsoft/azure-skills,429247,microsoft/azure-skills/microsoft-foundry,https://skills.sh/microsoft/azure-skills/microsoft-foundry
8,azure-ai,azure-ai,/microsoft/azure-skills,426342,microsoft/azure-skills/azure-ai,https://skills.sh/microsoft/azure-skills/azure-ai
9,azure-deploy,azure-deploy,/microsoft/azure-skills,425968,microsoft/azure-skills/azure-deploy,https://skills.sh/microsoft/azure-skills/azure-deploy
10,azure-diagnostics,azure-diagnostics,/microsoft/azure-skills,425856,microsoft/azure-skills/azure-diagnostics,https://skills.sh/microsoft/azure-skills/azure-diagnostics
11,azure-prepare,azure-prepare,/microsoft/azure-skills,425782,microsoft/azure-skills/azure-prepare,https://skills.sh/microsoft/azure-skills/azure-prepare
12,azure-storage,azure-storage,/microsoft/azure-skills,425484,microsoft/azure-skills/azure-storage,https://skills.sh/microsoft/azure-skills/azure-storage
13,azure-validate,azure-validate,/microsoft/azure-skills,425149,microsoft/azure-skills/azure-validate,https://skills.sh/microsoft/azure-skills/azure-validate
14,entra-app-registration,entra-app-registration,/microsoft/azure-skills,425024,microsoft/azure-skills/entra-app-registration,https://skills.sh/microsoft/azure-skills/entra-app-registration
15,appinsights-instrumentation,appinsights-instrumentation,/microsoft/azure-skills,424952,microsoft/azure-skills/appinsights-instrumentation,https://skills.sh/microsoft/azure-skills/appinsights-instrumentation
16,azure-compliance,azure-compliance,/microsoft/azure-skills,424885,microsoft/azure-skills/azure-compliance,https://skills.sh/microsoft/azure-skills/azure-compliance
17,azure-resource-lookup,azure-resource-lookup,/microsoft/azure-skills,424883,microsoft/azure-skills/azure-resource-lookup,https://skills.sh/microsoft/azure-skills/azure-resource-lookup
18,azure-rbac,azure-rbac,/microsoft/azure-skills,424877,microsoft/azure-skills/azure-rbac,https://skills.sh/microsoft/azure-skills/azure-rbac
19,azure-aigateway,azure-aigateway,/microsoft/azure-skills,424790,microsoft/azure-skills/azure-aigateway,https://skills.sh/microsoft/azure-skills/azure-aigateway
20,azure-kusto,azure-kusto,/microsoft/azure-skills,424736,microsoft/azure-skills/azure-kusto,https://skills.sh/microsoft/azure-skills/azure-kusto
21,azure-resource-visualizer,azure-resource-visualizer,/microsoft/azure-skills,424724,microsoft/azure-skills/azure-resource-visualizer,https://skills.sh/microsoft/azure-skills/azure-resource-visualizer
22,azure-messaging,azure-messaging,/microsoft/azure-skills,414487,microsoft/azure-skills/azure-messaging,https://skills.sh/microsoft/azure-skills/azure-messaging
23,remotion-best-practices,remotion-best-practices,/remotion-dev/skills,404969,remotion-dev/skills/remotion-best-practices,https://skills.sh/remotion-dev/skills/remotion-best-practices
